pkg_sort,pkg_url,pkg_title,pkg_full_title,pkg_price,pkg_flow_size,pkg_content,pkg_image_urls,pkg_images
老用户专享,http://www.189.cn/products/187361177621.html?intaid=jt-liuliang-wdzx-01&intaid=hl-liuliang-lyh-02,假日包10元1天,非账单支付假日流量1天包10元,￥10.00,一天包  10元2GB,适用范围1.适用于中国电信除时长型套餐、天翼20G/40G套餐等已明确不允许订购流量包的套餐以外的所有手机用户开放2.适用于预付费及后付费用户订购及生效规则1.流量包内流量，可用于4G、3G、2G上网方式，仅限于大陆地区使用，不含港澳台，不含WLAN（Wi-Fi）上网。2.流量抵扣顺序：定向流量包、视频流量包、赠送闲时流量、闲时流量包、非账单支付假日流量包、假日流量包、畅聊流量包、后向全国流量月包、赠送全国流量、套餐内全国流量、非账单支付流量加餐包、流量加餐包、包月流量包、后向全国流量季包、非账单支付季/半年/年包流量、季/半年/年包流量，超出后执行套外流量资费。具体扣减规则以省内为准，详询请致电10000。3.订购成功当日立即生效，流量有效期自受理成功当日（为第一自然日）至第二个自然日的24:00（支持跨月）。4.在此包未使用完前，申请新包，流量不合并，老流量包有效期不变，新流量包有效期按订购时间算。5.此包不参与套餐分享，副卡不可分享主卡订购的此包内流量，副卡可单独订购次包。6.包内流量，不计入套餐外流量及费用的封顶值计算。7.流量包内的剩余流量不参加次月结转。8.此流量包不能抵扣已经产生的套餐外流量。9.具体扣减规则以省内为准，详询请致电10000。10.不支持西藏、四川、江西用户订购。,['http://image1.chinatelecom-ec.com/images/2018/4/26/1/00000000D113CE2841634F179DCD8FE830F1E4BA.png'],"[{'url': 'http://image1.chinatelecom-ec.com/images/2018/4/26/1/00000000D113CE2841634F179DCD8FE830F1E4BA.png', 'path': 'full/c632fb37a73823ccc1cfdfe2fa04b0ff0ea45a02.jpg', 'checksum': 'b8c1a7e53c8b29247f8d8a036ec073d5', 'status': 'uptodate'}]"
各种职业,http://www.189.cn/products/197361225874.html?intaid=hl-liuliang-swrs-01,500MB月包,4G流量月包10元500MB,￥10.00,500MB/月,适用范围：1.适用于中国电信除时长型套餐、畅享套餐等已明确不允许订购流量包的套餐以外的所有手机用户开放；2.适用于预付费及后付费用户。使用规则：1.流量包内流量为国内流量，可用于4G、3G、2G上网方式，仅限于大陆地区使用，不含港澳台，不含WLAN（Wi-Fi）上网。2.流量抵扣顺序：定向流量包、视频流量包、赠送闲时流量、闲时流量包、非账单支付假日流量包、1天流量包、3天流量包、7天流量包、30天流量包、畅聊流量包、后向全国流量月包、赠送全国流量、套餐内全国流量、非账单支付流量加餐包、流量加餐包、包月流量包、后向全国流量季包、非账单支付季/半年/年包流量、季/半年/年包流量，超出后执行套外流量资费，各省根据省内实际情况微调。具体扣减规则以省内为准，详询请致电10000。3.包月流量包的包内流量及月功能费，不计入套餐外流量封顶及费用封顶值计算。其他规则：1.生效规则：新老用户均可订购，订购立即生效。订购当月功能费按日计扣（入网当日到月底），费用四舍五入到分；包内流量按天折算，流量向上取整到MB。开通后如不取消长期有效。退订成功后，剩余流量月月底失效。2.每个号码限申请一档，不能重复订购。3.变更、退订：次月生效。4.包月流量包不参与套餐分享，副卡不可分享主卡订购的包月流量包内业务量，副卡可单独订购包月流量包。5.适用于流量不清零规则。6.此流量包不可抵扣用户号码已经超出套餐的流量。7.续约规则：包月流量包资费的有效期为2年，到期时中国电信可调整相关资费内容，如双方无异议自动续约2年。8.暂不支持贵州、内蒙古用户订购。,['https://www.189.cn/images/2019/2/13/1/000000004D1DF64134694E189714B91CCA626E3E.png'],"[{'url': 'https://www.189.cn/images/2019/2/13/1/000000004D1DF64134694E189714B91CCA626E3E.png', 'path': 'full/03d847b6daf1ebc43761fc356303b7a713d813d1.jpg', 'checksum': '82d4511df18f771f9f02924de2e29448', 'status': 'uptodate'}]"
流量包集萃,http://www.189.cn/products/187361177622.html?intaid=jt-liuliang-jc-05,15元3天假日包,非账单支付假日流量3天包201804 15元,￥15.00,三天包   15元3GB,适用范围1.适用于中国电信除时长型套餐、天翼20G/40G套餐等已发文明确不允许订购流量包的套餐以外的所有手机用户开放2.适用于预付费及后付费用户订购及生效规则1.流量包内流量，可用于4G、3G、2G上网方式，仅限于大陆地区使用，不含港澳台，不含WLAN（Wi-Fi）上网。2.流量抵扣顺序：定向流量包、视频流量包、赠送闲时流量、闲时流量包、非账单支付假日流量包、假日流量包、畅聊流量包、后向全国流量月包、赠送全国流量、套餐内全国流量、非账单支付流量加餐包、流量加餐包、包月流量包、后向全国流量季包、非账单支付季/半年/年包流量、季/半年/年包流量，超出后执行套外流量资费。具体扣减规则以省内为准，详询请致电10000。3.订购成功当日立即生效，流量有效期自受理成功当日（为第一自然日）至第三个自然日的24:00（支持跨月）；4.在此包未使用完前，申请新包，流量不合并，老流量包有效期不变，新流量包有效期按订购时间算。5.此包不参与套餐分享，副卡不可分享主卡订购的此包内流量，副卡可单独订购此包。6.包内流量，不计入套餐外流量及费用的封顶值计算。7.流量包内的剩余流量不参加次月结转。8.此流量包不能抵扣已经产生的套餐外流量。9.具体扣减规则以省内为准，详询请致电10000。10.不支持四川、西藏、江西用户订购。,['http://image1.chinatelecom-ec.com/images/2018/4/26/1/00000000FB188F263C9344FA8168CF396D52404E.png'],"[{'url': 'http://image1.chinatelecom-ec.com/images/2018/4/26/1/00000000FB188F263C9344FA8168CF396D52404E.png', 'path': 'full/d492bc333e050394f4e9a776f8f8bafdcbf676af.jpg', 'checksum': '98d1ecc99f458384e9ba49328248fd22', 'status': 'uptodate'}]"
流量包集萃,http://www.189.cn/products/187361177621.html?intaid=jt-liuliang-jc-06,10元1天假日包,非账单支付假日流量1天包10元,￥10.00,一天包  10元2GB,适用范围1.适用于中国电信除时长型套餐、天翼20G/40G套餐等已明确不允许订购流量包的套餐以外的所有手机用户开放2.适用于预付费及后付费用户订购及生效规则1.流量包内流量，可用于4G、3G、2G上网方式，仅限于大陆地区使用，不含港澳台，不含WLAN（Wi-Fi）上网。2.流量抵扣顺序：定向流量包、视频流量包、赠送闲时流量、闲时流量包、非账单支付假日流量包、假日流量包、畅聊流量包、后向全国流量月包、赠送全国流量、套餐内全国流量、非账单支付流量加餐包、流量加餐包、包月流量包、后向全国流量季包、非账单支付季/半年/年包流量、季/半年/年包流量，超出后执行套外流量资费。具体扣减规则以省内为准，详询请致电10000。3.订购成功当日立即生效，流量有效期自受理成功当日（为第一自然日）至第二个自然日的24:00（支持跨月）。4.在此包未使用完前，申请新包，流量不合并，老流量包有效期不变，新流量包有效期按订购时间算。5.此包不参与套餐分享，副卡不可分享主卡订购的此包内流量，副卡可单独订购次包。6.包内流量，不计入套餐外流量及费用的封顶值计算。7.流量包内的剩余流量不参加次月结转。8.此流量包不能抵扣已经产生的套餐外流量。9.具体扣减规则以省内为准，详询请致电10000。10.不支持西藏、四川、江西用户订购。,['http://image1.chinatelecom-ec.com/images/2018/4/26/1/00000000D113CE2841634F179DCD8FE830F1E4BA.png'],"[{'url': 'http://image1.chinatelecom-ec.com/images/2018/4/26/1/00000000D113CE2841634F179DCD8FE830F1E4BA.png', 'path': 'full/c632fb37a73823ccc1cfdfe2fa04b0ff0ea45a02.jpg', 'checksum': 'b8c1a7e53c8b29247f8d8a036ec073d5', 'status': 'uptodate'}]"
流量包集萃,http://www.189.cn/products/197361189598.html?intaid=jt-liuliang-jc-02,东南亚7天包,169元东南亚7日流量包,￥169.00,东南亚7日流量包,一、业务规则1、国漫功能：符合实名登记或实名制认证要求的中国电信后付费用户（后付费：先消费，月底计算当月消费金额，次月缴费），订购前需先开通国际及港澳台地区漫游权限功能。2、主副卡不共享：副卡不分享主卡订购的包天流量包内业务量，副卡可单独订购。3、上网方式：流量包内流量为流量包目的地漫游流量，在中国大陆境内不扣减，可用于目的地4G、3G、2G上网方式，不含WLAN（WiFi）上网。4、东南亚多天国漫包适用国家：泰国、印度尼西亚、新加坡、柬埔寨、马来西亚。该流量包使用范围不包含漫游国家所属岛屿地区，例如：塞班岛/天宁岛/罗塔岛（北马里亚纳群岛）、关岛等为美国海外属地，有单独资费。5、客户在泰国、印度尼西亚、新加坡、柬埔寨每日(北京时间0时-24时)封顶资费内享有200MB高速上网流量（实际上网速率取决于当地运营商网络情况），当日高速上网流量耗尽后免费使用低速流量（最高上网速率384kbps）。次日0时（北京时间）恢复每日封顶资费内享有200MB高速上网流量和全天免费低速流量模式。6、客户在马来西亚每日(北京时间0时-24时)封顶资费内享有100MB高速上网流量（实际上网速率取决于当地运营商网络情况），当日高速上网流量耗尽后免费使用低速流量（最高上网速率384kbps）。次日0时（北京时间）恢复每日封顶资费内享有100MB高速上网流量和全天免费低速流量模式。二、 其他业务规则1、所有时间以北京时间为准。2、生效：有效期为90天，指用户订购成功后，在有效期内首次激活并产生流量即为有效。流量包生效状态及生效时间都将以短信方式提醒用户。3、激活：有效期内，在目的地首次使用国际流量即为激活。4、使用后失效：多天国漫流量包生效后，失效时间从生效时间起按自然天计算（以下时间均以北京时间为准）。生效当天为第1天，第1天过24：00后为第2天，……，第n天过24:00后流量包失效（n指销售品名称中定义的天数。5、未使用失效：用户订购多天国漫包成功后，90天内未在适用漫游地产生数据上网流量，该流量包不能再激活使用。6、退订：多天国漫包不允许变更、退订，允许拆机。号码成功开通后，无论是否在适用漫游地产生数据流量，均无法退费。7、叠加和优先级规则：相同方向或范围的漫游流量次包产品均可叠加订购，订购次数上限为5次。多个相同方向或范围的漫游流量产品叠加，根据优先级顺序依次激活，只允许存在一个流量包处于激活状态，激活后连续抵扣，多个不同方向或范围的漫游流量产品可以同时有效。 8、公平流量使用原则：流量服务受各地运营商网络公平原则约束，当客户于短时间内使用过多流量或达到公平使用量，运营商将有权对客户进行限速。 9、由于客户的通信消费信息需要当地合作运营商提供，按照国际惯例，国际/港澳台漫游相关费用可能出现延迟现象，实际消费以最终账单为准。10、根据部分境外运营商的计费规则，漫游登记在其网络上的用户拨打电话或发送短信时，尽管振铃后对方未接听或发送短信后对方未成功接收，但由于占用了其网络通信信道，仍会向主叫用户收取通信费用，特此提醒您注意。11、支持全国31省中国电信用户订购。,['https://www.189.cn/images/2018/9/17/1/00000000E7198C01A636481C9C3B3887873E4D4B.png'],"[{'url': 'https://www.189.cn/images/2018/9/17/1/00000000E7198C01A636481C9C3B3887873E4D4B.png', 'path': 'full/145a98f1819a00e053bd2e4546c60cdc1af84a21.jpg', 'checksum': '508407f8c18940174d0ac2e637e90197', 'status': 'uptodate'}]"
我的专享,http://www.189.cn/products/197361225816.html?intaid=jt-liuliang-wdzx-03,6GB月包,4G流量月包40元6GB,￥40.00,6GB/月,适用范围：1.适用于中国电信除时长型套餐、畅享套餐等已明确不允许订购流量包的套餐以外的所有手机用户开放；2.适用于预付费及后付费用户。使用规则： 1.流量包内流量为国内流量，可用于4G、3G、2G上网方式，仅限于大陆地区使用，不含港澳台，不含WLAN（Wi-Fi）上网。2.流量抵扣顺序：定向流量包、视频流量包、赠送闲时流量、闲时流量包、非账单支付假日流量包、1天流量包、3天流量包、7天流量包、30天流量包、畅聊流量包、后向全国流量月包、赠送全国流量、套餐内全国流量、非账单支付流量加餐包、流量加餐包、包月流量包、后向全国流量季包、非账单支付季/半年/年包流量、季/半年/年包流量，超出后执行套外流量资费，各省根据省内实际情况微调。具体扣减规则以省内为准，详询请致电10000。3.包月流量包的包内流量及月功能费，不计入套餐外流量封顶及费用封顶值计算。其他规则：1.生效规则：新老用户均可订购，订购立即生效。订购当月功能费按日计扣（入网当日到月底），费用四舍五入到分；包内流量按天折算，流量向上取整到MB。开通后如不取消长期有效。退订成功后，剩余流量月月底失效。2.每个号码限申请一档，不能重复订购。3.变更、退订：次月生效。4.包月流量包不参与套餐分享，副卡不可分享主卡订购的包月流量包内业务量，副卡可单独订购包月流量包。5.适用于流量不清零规则。6.此流量包不可抵扣用户号码已经超出套餐的流量。7.续约规则：包月流量包资费的有效期为2年，到期时中国电信可调整相关资费内容，如双方无异议自动续约2年。8.暂不支持贵州、内蒙古用户订购。,['https://www.189.cn/images/2019/2/13/1/0000000068186BA14ED04FFDAC189A80A5D1846B.png'],"[{'url': 'https://www.189.cn/images/2019/2/13/1/0000000068186BA14ED04FFDAC189A80A5D1846B.png', 'path': 'full/20def66eb52c8a89ccb95cd8c68013e6d3b82739.jpg', 'checksum': '3646bbd7e9bcdb4ff8ad26519a3b79de', 'status': 'uptodate'}]"
流量包集萃,http://www.189.cn/products/197361130150.html?intaid=jt-liuliang-jc-01,港澳台流量包,港澳台300MB流量包,￥20.00,港澳台300MB流量包,一、资费内容港澳台100MB流量包 10元100MB /30天港澳台300MB流量包 20元300MB /30天二、    订购方式（一）短信订购：港澳台100MB流量包：编辑短信“KTGAT10”发送至10001，根据短信回复提示操作完成订购。港澳台300MB流量包：编辑短信“KTGAT20”发送至10001，根据短信回复提示操作完成订购。 （二）在线订购：- “中国电信国际及港澳台漫游”微信公众号- 中国电信营业厅（欢go）客户端及欢go网站（www.189.cn）（三）其他订购方式：电信营业厅、10000号。（具体订购方式以各省实际情况为准，详询省内10000号。）三、    业务使用规则1、国漫功能：符合实名登记或实名制认证要求的中国电信后付费用户（后付费：先消费，月底计算当月消费金额，次月缴费），订购前需先开通国际及港澳台地区漫游权限功能。2、主副卡不共享：副卡不分享主卡订购的港澳台地区流量包内业务量，副卡可单独订购。3、上网方式：流量包内流量为流量包目的地漫游流量，在中国大陆境内不扣减，可用于中国香港5G、4G、3G、2G上网方式；中国台湾和中国澳门4G、3G、2G上网方式，不含WLAN（WiFi）上网。4、超出流量包部分按标准资费计费。三、其他规则（一）订购：港澳台流量包需自行申请订购，用户需先开通港澳台漫游权限，并通过实体营业厅、10000号、网掌厅或者短信订购。已订购原国漫包天流量包的用户，需退订国漫包天流量包后才可订购港澳台流量包。用户订购港澳台流量包二次确认成功后，流量包订购成功。订购当月流量包费用全额计扣。订购成功后30天内用户可以使用该流量包。（二）生效：订购成功后立即生效。流量包生效状态及生效时间都将以短信方式提醒用户。（三）失效：1.使用后失效：用户在流量包有效期内在港澳台使用流量超过100MB/300MB后，流量包失效。用户在港澳台使用流量未超过100MB/300MB，失效时间从生效时间起按自然天计算（以下时间均以北京时间为准）。生效当天为第1天，第1天过24：00后为第2天，……，第30天过24:00后流量包失效。2.用户订购该流量包成功后30天内未使用，流量包不能再激活。（四）退订：港澳台流量包一旦订购成功（即扣费成功），不论是否在漫游地产生数据流量，均不可退订。（五）叠加规则。港澳台流量包允许重复订购和不同档次叠加，优先使用先购买的流量包。（六）公平流量使用原则流量服务受各地运营商网络公平使用原则约束，当客户于短时间内使用过多流量或达到公平使用量，运营商将有权对客户进行限速。（七）由于客户的通信消费信息需要当地合作运营商提供，按照国际惯例，国际/港澳台漫游相关费用可能出现延迟现象，实际消费以最终账单为准。（八）根据部分境外运营商的计费规则，漫游登记在其网络上的用户拨打电话或发送短信时，尽管振铃后对方未接听或发送短信后对方未成功接收，但由于占用了其网络通信信道，仍会向主叫用户收取通信费用，特此提醒您注意。（九）公平流量使用原则：受各地运营商网络公平使用原则约束，当客户于短时间内使用过多流量或达到公平使用量，运营商将有权对客户进行限速。客户在当地享有全天高速上网流量（实际上网速率取决于当地运营商网络情况）。（十）支持全国31省中国电信用户订购。,['https://www.189.cn/images/2021/5/18/1/000000006D50D24270E6430D88220C7F27C42044.png'],"[{'url': 'https://www.189.cn/images/2021/5/18/1/000000006D50D24270E6430D88220C7F27C42044.png', 'path': 'full/e1ed24a6544b2119b01ce429b5d9a8eabfbce306.jpg', 'checksum': '7fbb960cff75ed7084de762c5ce6ab1b', 'status': 'uptodate'}]"
老用户专享,http://www.189.cn/products/187361177622.html?intaid=hl-liuliang-lyh-01,假日包15元3天,非账单支付假日流量3天包201804 15元,￥15.00,三天包   15元3GB,适用范围1.适用于中国电信除时长型套餐、天翼20G/40G套餐等已发文明确不允许订购流量包的套餐以外的所有手机用户开放2.适用于预付费及后付费用户订购及生效规则1.流量包内流量，可用于4G、3G、2G上网方式，仅限于大陆地区使用，不含港澳台，不含WLAN（Wi-Fi）上网。2.流量抵扣顺序：定向流量包、视频流量包、赠送闲时流量、闲时流量包、非账单支付假日流量包、假日流量包、畅聊流量包、后向全国流量月包、赠送全国流量、套餐内全国流量、非账单支付流量加餐包、流量加餐包、包月流量包、后向全国流量季包、非账单支付季/半年/年包流量、季/半年/年包流量，超出后执行套外流量资费。具体扣减规则以省内为准，详询请致电10000。3.订购成功当日立即生效，流量有效期自受理成功当日（为第一自然日）至第三个自然日的24:00（支持跨月）；4.在此包未使用完前，申请新包，流量不合并，老流量包有效期不变，新流量包有效期按订购时间算。5.此包不参与套餐分享，副卡不可分享主卡订购的此包内流量，副卡可单独订购此包。6.包内流量，不计入套餐外流量及费用的封顶值计算。7.流量包内的剩余流量不参加次月结转。8.此流量包不能抵扣已经产生的套餐外流量。9.具体扣减规则以省内为准，详询请致电10000。10.不支持四川、西藏、江西用户订购。,['http://image1.chinatelecom-ec.com/images/2018/4/26/1/00000000FB188F263C9344FA8168CF396D52404E.png'],"[{'url': 'http://image1.chinatelecom-ec.com/images/2018/4/26/1/00000000FB188F263C9344FA8168CF396D52404E.png', 'path': 'full/d492bc333e050394f4e9a776f8f8bafdcbf676af.jpg', 'checksum': '98d1ecc99f458384e9ba49328248fd22', 'status': 'uptodate'}]"
流量包集萃,http://www.189.cn/products/197361189546.html?intaid=jt-liuliang-jc-03,韩国7天包,169元韩国7日流量包,￥169.00,韩国7日流量包,一、业务规则1、国漫功能：符合实名登记或实名制认证要求的中国电信后付费用户（后付费：先消费，月底计算当月消费金额，次月缴费），订购前需先开通国际及港澳台地区漫游权限功能。2、主副卡不共享：副卡不分享主卡订购的包天流量包内业务量，副卡可单独订购。3、上网方式：流量包内流量为流量包目的地漫游流量，在中国大陆境内不扣减，可用于目的地2G、3G、4G上网方式，不含WLAN（WiFi）上网。4、该流量包使用范围不包含漫游国家所属岛屿地区，例如：塞班岛/天宁岛/罗塔岛（北马里亚纳群岛）、关岛等为美国海外属地，有单独资费。5、客户在目的地每日(北京时间0时-24时)封顶资费内享有100MB高速上网流量（实际上网速率取决于当地运营商网络情况），当日高速上网流量耗尽后免费使用低速流量（最高上网速率384kbps）。次日0时（北京时间）恢复每日封顶资费内享有100MB高速上网流量和全天免费低速流量模式。二、 其他业务规则1、所有时间以北京时间为准。2、生效：有效期为90天，指用户订购成功后，在有效期内首次激活并产生流量即为有效。流量包生效状态及生效时间都将以短信方式提醒用户。3、激活：有效期内，在目的地首次使用国际流量即为激活。4、使用后失效：多天国漫流量包生效后，失效时间从生效时间起按自然天计算（以下时间均以北京时间为准）。生效当天为第1天，第1天过24：00后为第2天，……，第n天过24:00后流量包失效（n指销售品名称中定义的天数。5、未使用失效：用户订购多天国漫包成功后，90天内未在适用漫游地产生数据上网流量，该流量包不能再激活使用。6、退订：多天国漫包不允许变更、退订，允许拆机。号码成功开通后，无论是否在适用漫游地产生数据流量，均无法退费。7、叠加和优先级规则：相同方向或范围的漫游流量次包产品均可叠加订购，订购次数上限为5次。多个相同方向或范围的漫游流量产品叠加，根据优先级顺序依次激活，只允许存在一个流量包处于激活状态，激活后连续抵扣，多个不同方向或范围的漫游流量产品可以同时有效。 8、公平流量使用原则：流量服务受各地运营商网络公平原则约束，当客户于短时间内使用过多流量或达到公平使用量，运营商将有权对客户进行限速。 9、由于客户的通信消费信息需要当地合作运营商提供，按照国际惯例，国际/港澳台漫游相关费用可能出现延迟现象，实际消费以最终账单为准。10、根据部分境外运营商的计费规则，漫游登记在其网络上的用户拨打电话或发送短信时，尽管振铃后对方未接听或发送短信后对方未成功接收，但由于占用了其网络通信信道，仍会向主叫用户收取通信费用，特此提醒您注意。11、支持全国31省中国电信用户订购。,['https://www.189.cn/images/2018/9/17/1/000000001FCF5123BBCB488E92D114A7A45E256A.png'],"[{'url': 'https://www.189.cn/images/2018/9/17/1/000000001FCF5123BBCB488E92D114A7A45E256A.png', 'path': 'full/9264663924e9c8d24b61ca2441a9a00e4764a0a5.jpg', 'checksum': '44788d6f8ee96ca09ba978ca3386708e', 'status': 'uptodate'}]"
我的专享,http://www.189.cn/products/197361177603.html?intaid=jt-liuliang-wdzx-04,6GB深夜包,深夜流量包20元,￥20.00,6GB/月,"适用范围1.适用于中国电信除时长型套餐、天翼20G/40G套餐等已发文明确不允许订购流量包的套餐以外的所有手机用户开放2.适用于预付费及后付费用户订购及生效规则1.流量包内流量，可用于4G、3G、2G上网方式，仅限于大陆地区使用，不含港澳台，不含WLAN（Wi-Fi）上网。2.流量抵扣顺序：定向流量包、视频流量包、赠送闲时流量、闲时流量包、非账单支付假日流量包、假日流量包、、畅聊流量包、后向全国流量月包、赠送全国流量、套餐内全国流量、非账单支付流量加餐包、流量加餐包、包月流量包、后向全国流量季包、非账单支付季/半年/年包流量、季/半年/年包流量，超出后执行套外流量资费。具体扣减规则以省内为准，详询请致电10000。业务规则1. 该流量包为按月计费包，订购立即生效，在用户主动退订后次月失效；订购当月执行过渡期资费：月功能费按日计扣（订购当日到月底），费用四舍五入到分；包内流量按天折算，向上取整到 MB； 退订当月月底生效，变更次月生效。2. 使用时间为每日23:00-次日07:00（新疆、西藏除外）,总时长8小时；省份不同显示时间略有不同，详询10000号。3. 如是主副卡用户，需单独分别订购（主副卡之间不能共享）。 4. 包内流量为国内流量，仅限于大陆地区使用，不含港澳台，可用于 4G、3G、2G上网方式，不含WLAN（Wi-Fi）上网。  5. 每个号码只能订购一次。6. 此流量包不参与套餐分享，副卡不可分享主卡订购的流量包内流量，副卡可单独订购此流量包。 7. 此流量包不可抵扣用户号码已经超出套餐的流量。8.订购成功后，需重新开关移动数据上网功能，此流量包才能生效。9.暂不支持江西、山西用户订购。",['http://image1.chinatelecom-ec.com/images/2018/4/26/1/00000000D9D9BB0DD88643499A744FBD3B0D60AD.png'],"[{'url': 'http://image1.chinatelecom-ec.com/images/2018/4/26/1/00000000D9D9BB0DD88643499A744FBD3B0D60AD.png', 'path': 'full/ecfe29fc08fcccddbfd920076b65989fe89b7cf8.jpg', 'checksum': '5505aa8fde01c1fbeb1f613cf3c17b93', 'status': 'uptodate'}]"
我的专享,http://www.189.cn/products/187361177622.html?intaid=jt-liuliang-wdzx-02,15元3天假日包,非账单支付假日流量3天包201804 15元,￥15.00,三天包   15元3GB,适用范围1.适用于中国电信除时长型套餐、天翼20G/40G套餐等已发文明确不允许订购流量包的套餐以外的所有手机用户开放2.适用于预付费及后付费用户订购及生效规则1.流量包内流量，可用于4G、3G、2G上网方式，仅限于大陆地区使用，不含港澳台，不含WLAN（Wi-Fi）上网。2.流量抵扣顺序：定向流量包、视频流量包、赠送闲时流量、闲时流量包、非账单支付假日流量包、假日流量包、畅聊流量包、后向全国流量月包、赠送全国流量、套餐内全国流量、非账单支付流量加餐包、流量加餐包、包月流量包、后向全国流量季包、非账单支付季/半年/年包流量、季/半年/年包流量，超出后执行套外流量资费。具体扣减规则以省内为准，详询请致电10000。3.订购成功当日立即生效，流量有效期自受理成功当日（为第一自然日）至第三个自然日的24:00（支持跨月）；4.在此包未使用完前，申请新包，流量不合并，老流量包有效期不变，新流量包有效期按订购时间算。5.此包不参与套餐分享，副卡不可分享主卡订购的此包内流量，副卡可单独订购此包。6.包内流量，不计入套餐外流量及费用的封顶值计算。7.流量包内的剩余流量不参加次月结转。8.此流量包不能抵扣已经产生的套餐外流量。9.具体扣减规则以省内为准，详询请致电10000。10.不支持四川、西藏、江西用户订购。,['http://image1.chinatelecom-ec.com/images/2018/4/26/1/00000000FB188F263C9344FA8168CF396D52404E.png'],"[{'url': 'http://image1.chinatelecom-ec.com/images/2018/4/26/1/00000000FB188F263C9344FA8168CF396D52404E.png', 'path': 'full/d492bc333e050394f4e9a776f8f8bafdcbf676af.jpg', 'checksum': '98d1ecc99f458384e9ba49328248fd22', 'status': 'uptodate'}]"
